,Exchanges,id,Cash Ratio,Current Ratio,TT Liabilities on Equity,TT Liabilities on Asset,ST Liabilities on TT Liabilities,ST Liabilities on Equity,ST Liabilities on Asset,TT Debt on TT Liabilities,TT Debt on Equity,TT Debt on Asset,ST Debt on TT Liabilities,ST Debt on ST Liabilities,ST Debt on TT Debt,ST Debt on Equity,ST Debt on Asset,ROE,ROA,Gross Profit Margin,EBITDA Margin,Operating Profit Margin,Income Aft Tax Margin,Asset Turnover Ratio,Inflation,GDP,Industry,Industry_year
68,HOSE,KHP_2018,0.0554789764354563,0.931363742,2.0230068493657862,0.6692035281991519,0.5091540154277132,1.030022060592357,0.3407276635209911,0.4851559808142626,0.9814738721980292,0.3246680940878245,0.055104090378909,0.1082267618622608,0.1135801526890896,0.1114759522646042,0.0368758516997708,0.0855371574341589,0.0282953898870934,5.615334413,5.800999907,1.260599739,1.191044669,2.468899995,3.6,310.11,tienIch,tienIch_2018
69,HOSE,PPC_2018,0.0327571139025367,2.963272316,0.2345105183498594,0.1899623493393349,1.0,0.2345105183498594,0.1899623493393349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1986652829865905,0.1609263590982939,16.118893498,15.374351873,19.984071665,15.771792282,0.98005116,3.6,310.11,tienIch,tienIch_2018
70,HOSE,SJD_2018,0.08515801413904,2.875908249,0.5151453740101697,0.3399973249079874,0.4918188667236731,0.2533582140436244,0.1672170990253268,0.4831030049724414,0.2488682781819652,0.1642537293456402,0.0,0.0,0.0,0.0,0.0,0.1982415951064157,0.130839983084742,55.222391479,64.482745359,43.237697187,38.480025051,0.342832085,3.6,310.11,tienIch,tienIch_2018
71,HOSE,PGC_2018,0.0534175605079197,1.244131376,1.3751937236919354,0.5789817099863216,0.8741645944286027,1.2021456637319208,0.5061253116917717,0.6604146631572112,0.9081980998079204,0.3823680109748027,0.6604146631572112,0.7554809098495815,1.0,0.9081980998079204,0.3823680109748027,0.1770348739118935,0.0745349198871725,19.384029637,7.514243462,5.72738396,4.732318577,1.513877091,3.6,310.11,tienIch,tienIch_2018
72,HOSE,UIC_2018,0.2425153186293125,1.477013861,0.712055616753672,0.4159068255643715,0.9613545791696368,0.6845379277896027,0.399833931264216,0.5120235656031773,0.3645892557979847,0.2129540957841682,0.4769103835198479,0.4960816683598426,0.9314227226202662,0.3395867172734556,0.1983502836884269,0.2014009088173027,0.1176368961653188,3.014546743,2.441118814,2.572059084,2.120972064,5.642589397,3.6,310.11,tienIch,tienIch_2018
73,HNX,PGS_2018,0.2258848362970829,0.904644863,1.6053050928277717,0.6161677944157357,0.8936108822537028,1.434518100288187,0.5506142463841637,0.0008940991996027,0.0014353019986154,0.000550915131808,0.0,0.0,0.0,0.0,0.0,0.1147763133731279,0.0440548455108384,17.067030067,3.95935453,2.02949952,1.667607832,2.764456079,3.6,310.11,tienIch,tienIch_2018
74,HOSE,ASP_2018,0.0739136429296703,0.664149424,2.431915534950237,0.7086175374026215,0.6900813869048771,1.678219645193976,0.4890037729959196,0.2316275819953439,0.5632987149774369,0.1641353667480644,0.0,0.0,0.0,0.0,0.0,0.1243869207077373,0.0362441672707253,18.940532325,4.949790046,2.192037704,2.083055579,1.811150528,3.6,310.11,tienIch,tienIch_2018
75,HNX,HJS_2018,0.037985360823707,0.909066583,0.4696224663983731,0.3195531349961492,0.4628707141373498,0.2173744863967585,0.1479117878004965,0.4723703713893123,0.2218357388653643,0.15094743305675,0.0,0.0,0.0,0.0,0.0,0.1513870130896583,0.1030108184591549,33.575181448,54.097143268,27.829850899,24.560843937,0.400020827,3.6,310.11,tienIch,tienIch_2018
80,HNX,NBP_2018,0.2566087632731385,2.32382599,0.5378411413438315,0.349737776474001,1.0,0.5378411413438315,0.349737776474001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1051414220825569,0.068369494908089,8.538000418,4.639977878,4.401137597,3.505863803,1.932576447,3.6,310.11,tienIch,tienIch_2018
81,HOSE,BTP_2018,0.0003766583070891,2.994322899,0.736532168459278,0.4241396628482047,0.471166744601284,0.3470294641070826,0.1998405042004748,0.5949374123719073,0.4381905424318326,0.2523365534992041,0.0661041569607135,0.1402988596248508,0.1111111111623796,0.0486878380704468,0.0280373948461818,0.126188569524923,0.0726669921906571,11.000217928,10.74975409,15.330382795,12.402795558,0.455201191,3.6,310.11,tienIch,tienIch_2018
82,HOSE,PGD_2018,0.2548042146294242,1.55337149,0.9269648833316102,0.4810491832759486,0.9996478610540656,0.9266384628946756,0.4808797871236072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1771659636804582,0.0919404215470074,10.104429092,4.962863669,3.765986298,2.986108257,2.90589574,3.6,310.11,tienIch,tienIch_2018
83,HNX,DNC_2018,0.2861645846164845,1.695583916,0.4986809178580932,0.332746558600883,1.0,0.4986809178580932,0.332746558600883,0.1994472455152345,0.0994605354578056,0.0663653845676196,0.1994472455152345,0.1994472455152345,1.0,0.0994605354578056,0.0663653845676196,0.3044282365852434,0.2031307885205682,9.256845817,7.175731457,5.478803528,5.467617237,3.568188146,3.6,310.11,tienIch,tienIch_2018
84,HOSE,NT2_2018,3.189463329123884e-05,0.79702941,1.4032318109537318,0.5838936570993704,0.6911209147887589,0.96980285284703,0.4035411184338707,0.3652869342872027,0.5125822463175684,0.2132887239515722,0.0638449687677628,0.0923788694591553,0.1747803241097186,0.0895892911442722,0.037278672301204,0.2123424441005493,0.0883570378575008,13.237459498,28.9889919603,10.361890984,10.197990975,0.815219383,3.6,310.11,tienIch,tienIch_2018
85,HNX,BTW_2018,0.5497794793564579,1.094021983,0.565908548590187,0.3613931024759114,0.7509151423924294,0.4249492983456933,0.2713755530053408,0.2490848576075706,0.1409592502444936,0.0900175494705705,0.0,0.0,0.0,0.0,0.0,0.1320483007286646,0.0843269556466137,28.604464903,10.284260899,5.693591079,4.843458991,1.857309277,3.6,310.11,tienIch,tienIch_2018
87,HNX,NBW_2019,0.2459863466715223,0.7969302973,0.4964049117437302,0.3317316776014051,0.9921475084482348,0.4925068963680079,0.3291267574055872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0823126828154742,0.0550069584572246,33.367107254,7.29512446,2.655281378,2.04056742,2.6947421938,2.4,334.37,tienIch,tienIch_2019
